"Hillnumber","Arearef","Alt_Area"
"2465","NE02","0"
"2466","NE04","0"
"3071","M06B","0"
"3072","M06B","0"
"3073","M06B","0"
"3074","M06B","0"
"3075","M06B","0"
"3076","M06B","0"
"3077","M06B","0"
"3078","M06B","0"
"3079","M06B","0"
"3080","M06B","0"
"3081","M06B","0"
"3082","M06B","0"
"3083","M06B","0"
"3084","M06B","0"
"3085","M06B","0"
"3086","M06B","0"
"3087","M07B","0"
"3088","M07A","0"
"3089","M07B","0"
"3090","M07A","0"
"3091","M07B","0"
"3092","M07A","0"
"3093","M07A","0"
"3094","M07B","0"
"3095","M07A","0"
"3096","M07A","0"
"3097","M07B","0"
"3098","M07B","0"
"3099","M07A","0"
"3100","M07B","0"
"3101","M07A","0"
"3102","M07A","0"
"3103","M07A","0"
"3104","M07A","0"
"3105","M07B","0"
"3106","M07B","0"
"3107","M07A","0"
"3108","M07A","0"
"3109","M07B","0"
"3110","M07A","0"
"3111","M07B","0"
"3112","M07A","0"
"3113","M07A","0"
"3114","M07B","0"
"3115","M08A","0"
"3116","M08A","0"
"3117","M08A","0"
"3118","M08B","0"
"3136","M09B","0"
"3137","M09B","0"
"3138","M09B","0"
"3139","M09B","0"
"3140","M09B","0"
"3141","M09B","0"
"3142","M09B","0"
"3143","M09B","0"
"3144","M09B","0"
"3145","M09B","0"
"3146","M09B","0"
"3147","M09B","0"
"3148","M09B","0"
"2467","NE05","0"
"2468","NE04","0"
"2469","NE05","0"
"2470","NE04","0"
"2471","NE03","0"
"2472","NE04","0"
"2473","NE05","0"
"2474","NE03","0"
"2475","NE04","0"
"2476","NE03","0"
"2477","NE02","0"
"2478","NE04","0"
"2479","NE03","0"
"2480","NE02","0"
"2481","NE03","0"
"2482","NE03","0"
"2483","NE04","0"
"2484","NE03","0"
"2485","NE05","0"
"2486","NE02","0"
"2487","NE04","0"
"2488","NE02","0"
"2489","NE02","0"
"2490","NE02","0"
"2491","NE04","0"
"2492","NE03","0"
"2493","NE03","0"
"2494","NE04","0"
"2495","NE03","0"
"2496","NE04","0"
"2497","NE03","0"
"2498","NE04","0"
"2499","NE04","0"
"2500","NE04","0"
"2501","NE02","0"
"2502","NE02","0"
"2503","NE02","0"
"2504","NE03","0"
"2505","NE03","0"
"2506","NE05","0"
"2507","NE04","0"
"2508","NE05","0"
"2509","NE03","0"
"2510","NE02","0"
"2511","NE03","0"
"2512","NE03","0"
"2513","NE02","0"
"2514","NE05","0"
"2515","C53","0"
"2515","NE06","0"
"2516","NE06","0"
"2517","NE06","0"
"2518","NE06","0"
"2519","NE06","0"
"2520","NE06","0"
"2521","NE06","0"
"2522","NE06","0"
"2523","NE06","0"
"2524","NE06","0"
"2525","NE06","0"
"2526","NE06","0"
"2527","NE06","0"
"2528","NE07","0"
"2529","NE06","0"
"2530","NE07","0"
"2531","NE06","0"
"2532","NE07","0"
"2533","NE06","0"
"2534","NE06","0"
"2535","NE07","0"
"2536","NE07","0"
"2537","NE07","0"
"2538","NE06","0"
"2539","NE06","0"
"2540","NE07","0"
"2541","NE07","0"
"2542","NE07","0"
"2543","NE06","0"
"2544","NE07","0"
"2545","NE06","0"
"2546","NE07","0"
"2547","NE06","0"
"2548","NE07","0"
"2549","NE06","0"
"2550","NE07","0"
"2551","NE07","0"
"2552","NE07","0"
"2553","NE07","0"
"2554","NE06","0"
"2555","NE07","0"
"2556","NE07","0"
"2557","NE07","0"
"2558","NE07","0"
"2559","NE07","0"
"2560","NE06","0"
"2561","NE07","0"
"2562","NE06","0"
"3149","M09B","0"
"3150","M09B","0"
"3151","M09B","0"
"3152","M09B","0"
"3153","M09B","0"
"3154","M09B","0"
"3155","M09B","0"
"3156","M09B","0"
"3157","M09B","0"
"3158","M09B","0"
"3159","M09B","0"
"3160","M09B","0"
"3161","M09B","0"
"3162","M09B","0"
"3163","M09B","0"
"3164","M09B","0"
"3165","M09B","0"
"3166","M09B","0"
"3167","M09B","0"
"3168","M09B","0"
"3169","M09B","0"
"3170","M09B","0"
"3171","M09B","0"
"3172","M09B","0"
"3173","M09B","0"
"3174","M09B","0"
"3175","M09C","0"
"3176","M09C","0"
"3177","M09C","0"
"3178","M09C","0"
"3179","M09C","0"
"3942","M01B","0"
