"Country","Arearef","Shortname","Areaname"
"SC","M26A","Central Scotland from Dumbarton to Montrose","26A: Central Scotland from Dumbarton to Montrose"
"SC","M26B","Central Scotland from Dumbarton to Montrose","26B: Central Scotland from Dumbarton to Montrose"
"(All)","(All)","(All)","(All)"
"EN","U06","Blackburn with Darwen","Blackburn with Darwen (UA)"
"EN","U07","Blackpool","Blackpool (UA)"
"WA","U08","Blaenau Gwent","Blaenau Gwent (UA)"
"EN","U09","Bolton","Bolton (UA)"
"EN","U10","Bournemouth","Bournemouth (UA)"
"EN","U11","Bracknell Forest","Bracknell Forest (UA)"
"EN","U12","Bradford","Bradford (UA)"
"WA","U13","Bridgend","Bridgend (UA)"
"EN","U14","Brighton and Hove","Brighton and Hove (UA)"
"EN","U15","Bristol","Bristol (UA)"
"EN","U16","Buckinghamshire","Buckinghamshire (CoU)"
"EN","U17","Bury","Bury (UA)"
"WA","U18","Caerphilly","Caerphilly (UA)"
"EN","U19","Calderdale","Calderdale (UA)"
"EN","U20","Cambridgeshire","Cambridgeshire (CoU)"
"WA","U21","Cardiff","Cardiff (UA)"
"WA","U22","Cardiganshire [Ceredigion]","Cardiganshire [Ceredigion] (CoU)"
"WA","U23","Carmarthenshire [Sir Gaerfyrddin]","Carmarthenshire [Sir Gaerfyrddin] (CoU)"
"EN","U24","Cheshire East","Cheshire East (CoU)"
"WA","U25","Conwy","Conwy (CoU)"
"EN","U26","Cornwall","Cornwall (CoU)"
"EN","U27","Coventry","Coventry (UA)"
"EN","U28","Cumbria","Cumbria (CoU)"
"EN","U29","Darlington","Darlington (UA)"
"WA","U30","Denbighshire [Sir Ddinbych]","Denbighshire [Sir Ddinbych] (CoU)"
"EN","U31","Derby","Derby (UA)"
"EN","U32","Derbyshire","Derbyshire (CoU)"
"EN","U33","Devon","Devon (CoU)"
"EN","U34","Doncaster","Doncaster (UA)"
"EN","U35","Dorset","Dorset (CoU)"
"EN","U36","Dudley","Dudley (UA)"
"EN","U37","Durham","Durham (CoU)"
"EN","U38","East Sussex","East Sussex (CoU)"
"EN","U39","Essex","Essex (CoU)"
"WA","U40","Flintshire [Sir Fflint]","Flintshire [Sir Fflint] (CoU)"
"EN","U41","Gateshead","Gateshead (CoU)"
"EN","U42","Gloucestershire","Gloucestershire (CoU)"
"EN","U43","Greater London","Greater London (CoU)"
"WA","U44","Gwynedd","Gwynedd (CoU)"
