"Hillnumber","_Section","Hillname","Section","Region","Area","Metres","Feet","Map","Map25","Gridref","Colgridref","Colheight","Drop","Gridref10","Feature","Observations","Survey","Climbed","Classification","Countyname","Revision","Comments","xcoord","ycoord","Latitude","Longitude","Streetmap","Getamap","Ma","sMa","xMa","twinMa","xsMa","M","MT","xMT","C","CTM","CTC","xC","xCT","G","GTM","GTC","GTG","sG","D","DT","xDT","Mur","sMur","Hew","sHew","N","xN","W","WO","BL","Dewey","x5","B","Hu","xHu","twinHu","Bg","T100","COH","COA","COU","CoL"
"69","1.4","Beinn Dubhchraig","1D","M01D","","978","3209","50","364N 377E","NN307254","NN298258","779","199","NN 30766 25485","cairn","","","","Ma,M,Mur","","28/10/01 00:00:00","","230762","725493","56.3913","-4.74322","#http://www.streetmap.co.uk/newmap.srf?x=230762&y=725493&z=3&sv=230762,725493&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN307254#","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"70","1.4","Beinn Bhuidhe","1D","M01D","","948","3110","50 56","364N","NN203187","NN203209","356","592","NN 20373 18714","trig point","","","","Ma,M,Mur","","28/10/01 00:00:00","","220369","718722","56.32671","-4.90671","#http://www.streetmap.co.uk/newmap.srf?x=220369&y=718722&z=3&sv=220369,718722&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN203187#","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"71","1.4","Ben Vorlich","1D","M01D","","943","3094","50 56","364N 364S","NN295124","NN286149","311","632","NN 29514 12469","cairn on rocky outcrop","higher than trig point 150m SE at NN 29585 12300","","","Ma,M,Mur,CoH","Dunbartonshire(CoH)","28/10/01 00:00:00","","229510","712476","56.27404","-4.75505","#http://www.streetmap.co.uk/newmap.srf?x=229510&y=712476&z=3&sv=229510,712476&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN295124#","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"72","1.4","Ben Oss North Top","1D","M01D","","941","3087","50","364N 377E","NN290258","","916","25","NN 29090 25872","cairn","cairn at NN 29090 25845 may be as high","","","sMur","","28/10/01 00:00:00","","229086","725880","56.39417","-4.77058","#http://www.streetmap.co.uk/newmap.srf?x=229086&y=725880&z=3&sv=229086,725880&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN290258#","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","1.4","Ben Vorlich North Top","1D","M01D","","931","3054","50 56","364N 364S","NN294130","","904","27","","","","","","MT,sMur","","28/10/01 00:00:00","","229400","713000","56.2787","-4.75715","#http://www.streetmap.co.uk/newmap.srf?x=229400&y=713000&z=3&sv=229400,713000&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN294130#","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","1.4","Beinn Narnain","1D","M01D","","927","3041","56","364S","NN271066","NN261071","637","290","NN 27171 06649","trig point","","","","Ma,M,Mur","","15/01/03 00:00:00","","227167","706656","56.22096","-4.78902","#http://www.streetmap.co.uk/newmap.srf?x=227167&y=706656&z=3&sv=227167,706656&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN271066#","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"75","1.4","Beinn a'Chleibh","1D","M01D","","916","3005","50","364N 377E","NN250256","NN256258","775","141","NN 25054 25600","cairn","","","","sMa,M,Mur,Hu","","28/10/01 00:00:00","","225050","725608","56.39025","-4.8357","#http://www.streetmap.co.uk/newmap.srf?x=225050&y=725608&z=3&sv=225050,725608&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN250256#","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"76","1.4","Ben Vane","1D","M01D","","915.76","3004","56","364S","NN277098","NN263096","492","423","NN 27758 09836","rock outcrop near small cairn","note cairn at top of gully 35m E at NN 27790 09830 is 0.52m lower","Leica NA730/530","","Ma,M,Mur","","20/11/09 00:00:00","","227754","709843","56.24977","-4.78164","#http://www.streetmap.co.uk/newmap.srf?x=227754&y=709843&z=3&sv=227754,709843&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN277098#","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"77","1.4","Beinn Bhuidhe East Top","1D","M01D","","901","2956","50 56","364N","NN212193","NN211191","826","75","NN 21286 19350","cairn","","","","CTM,sMur","","15/01/03 00:00:00","","221282","719358","56.33276","-4.8924","#http://www.streetmap.co.uk/newmap.srf?x=221282&y=719358&z=3&sv=221282,719358&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN212193#","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","1.4","Beinn Ime - Beinn Chorranach","1D","M01D","","888","2913","56","364S","NN254095","NN255091","748","140","","","","","","CTM,sMa,Hu","","15/01/03 00:00:00","","225400","709500","56.24584","-4.81936","#http://www.streetmap.co.uk/newmap.srf?x=225400&y=709500&z=3&sv=225400,709500&st=4&tl=~&bi=~&lu=N&ar=y#","#http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN254095#","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
