"Hillnumber","Hillname","_Section","Classification","Metres","Feet","Gridref","Gridref10","Colgridref","Colheight","Drop","Feature","Observations","Survey","Revision","Comments","Map","Map25","Xcoord","Ycoord","Latitude","Longitude"
"1","Ben Chonzie","1.1","Ma,M,Mur","931","3054","NN773308","NN 77326 30850","NN560276","286","645","cairn/shelter","","Abney level","28/10/01 00:00:00","","51 52","368W 379W  ","277324","730857","56.45385","-3.99206"
"2","Creagan na Beinne","1.1","Ma,C","888","2913","NN744368","NN 74444 36846","NN742343","433","455","cairn","","obvious summit","28/10/01 00:00:00","","51 52","378E   ","274442","736854","56.50693","-4.04167"
"3","Creag Uchdag","1.1","Ma,C","879","2884","NN708323","NN 70830 32315","NN761321","606","273","trig point","knoll 90m E is 1.5m lower; ground 30m W is 30cm lower","Abney level","28/10/01 00:00:00","","51 52","378E   ","270828","732323","56.46527","-4.0981"
"4","Auchnafree Hill","1.1","Ma,C","789","2589","NN808308","NN 80865 30805","NN788315","578","211","small cairn","large cairn at NN 80790 30740 is not the summit","obvious summit","28/10/01 00:00:00","","52","368W 379W  ","280863","730812","56.45435","-3.93465"
"5","Shee of Ardtalnaig [Ciste Buide a'Claidheimh]","1.1","Ma,G","759","2490","NN729351","NN 72956 35162","NN724347","535","224","no feature","30cm higher than cairn 45m NW at NN 72938 35198","Abney level","28/10/01 00:00:00","","51 52","378E   ","272954","735170","56.49141","-4.06501"
"6","Beinn na Gainimh","1.1","Ma,G","730","2395","NN837344","","NN828349","442","288","","","","28/10/01 00:00:00","","52","379W   ","283700","734400","56.48728","-3.89025"
"7","Meall Buidhe","1.1","Ma,G","719","2359","NN576275","NN 57682 27573","NN647318","446","273","small cairn","","","28/10/01 00:00:00","","51","365N   ","257679","727581","56.41892","-4.30874"
"8","Creag Ruadh","1.1","Ma,G","712","2336","NN674292","NN 67419 29250","NN691322","516","196","cairn on smooth rock","rock 15m away at NN 67400 29250 could be higher","","28/10/01 00:00:00","","51","368W   ","267417","729257","56.4368","-4.15186"
"9","Meall Dearg","1.1","Ma,G","690","2264","NN886414","NN 88662 41488","NN842419","517","173","trig point","","","28/10/01 00:00:00","","52","379W   ","288660","741496","56.55219","-3.81279"
"10","Creag Each","1.1","Ma,G","672","2205","NN652263","NN 65259 26366","NN645281","456","216","small cairn on rocky prominence","","","28/10/01 00:00:00","","51","368W   ","265257","726373","56.4103","-4.18538"
"11","Creag Gharbh","1.1","Ma,G","637","2090","NN632327","NN 63231 32720","NN627307","486","151","trig point: OS measurement","","","28/10/01 00:00:00","","51","378E   ","263229","732728","56.46676","-4.22155"
