Number,_Section,Name,Section,Region,Area,Metres,Feet,Map 1:50k,Map 1:25k,Grid ref,Col grid ref,Col height,Drop,10-figure grid ref,Feature,Observations,Survey,Date climbed,Classification,County,Revision,Comments,xcoord,ycoord,Latitude,Longitude,Streetmap,Get-a-map,Marilyn,SubMarilyn,Deleted Marilyn,Twin Marilyn,Munro,Munro Top,Deleted Munro Top,Corbett,Corbett Top of Munro,Corbett Top of Corbett,Deleted Corbett,Graham,Graham Top of Munro,Graham Top of Corbett,Graham Top of Graham,SubGraham,Donald,Donald Top,Deleted Donald Top,Murdo,SubMurdo,Hewitt,SubHewitt,Nuttall,Deleted Nuttall,Wainwright,Wainwright Outlying Fell,Buxton & Lewis,Dewey,Birkett,HuMP,Bridge,Trail 100,County Top - Historic,County Top - Administrative,County Top - Current County and Unitary Authority,County Top - London Borough
1,1.1,Ben Chonzie,1A,Loch Rannoch to Loch Tay,,931,3054,51 52,368W 379W,NN773308,NN560276,286,645,NN 77326 30850,cairn/shelter,,Abney level,,"Ma,M,Mur",,28-Oct-01,,277324,730857,56.45385,-3.99206,"http://www.streetmap.co.uk/newmap.srf?x=277324&y=730857&z=3&sv=277324,730857&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN773308,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1.1,Creagan na Beinne,1A,Loch Tay to Perth,,888,2913,51 52,378E,NN744368,NN742343,433,455,NN 74444 36846,cairn,,obvious summit,,"Ma,C",,28-Oct-01,,274442,736854,56.50693,-4.04168,"http://www.streetmap.co.uk/newmap.srf?x=274442&y=736854&z=3&sv=274442,736854&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN744368,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1.1,Creag Uchdag,1A,Loch Tay to Perth,,879,2884,51 52,378E,NN708323,NN761321,606,273,NN 70830 32315,trig point,knoll 90m E is 1.5m lower; ground 30m W is 30cm lower,Abney level,,"Ma,C",,28-Oct-01,,270828,732323,56.46527,-4.09811,"http://www.streetmap.co.uk/newmap.srf?x=270828&y=732323&z=3&sv=270828,732323&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN708323,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,1.1,Auchnafree Hill,1A,Loch Tay to Perth,,789,2589,52,368W 379W,NN808308,NN788315,578,211,NN 80865 30805,small cairn,large cairn at NN 80790 30740 is not the summit,obvious summit,,"Ma,C",,28-Oct-01,,280863,730812,56.45436,-3.93465,"http://www.streetmap.co.uk/newmap.srf?x=280863&y=730812&z=3&sv=280863,730812&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN808308,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,1.1,Shee of Ardtalnaig [Ciste Buide a'Claidheimh],1A,Loch Tay to Perth,,759,2490,51 52,378E,NN729351,NN724347,535,224,NN 72956 35162,no feature,30cm higher than cairn 45m NW at NN 72938 35198,Abney level,,"Ma,G",,28-Oct-01,,272954,735170,56.49141,-4.06501,"http://www.streetmap.co.uk/newmap.srf?x=272954&y=735170&z=3&sv=272954,735170&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN729351,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1.1,Beinn na Gainimh,1A,Loch Tay to Perth,,730,2395,52,379W,NN837344,NN828349,442,288,,,,,,"Ma,G",,28-Oct-01,,283700,734400,56.48734,-3.89028,"http://www.streetmap.co.uk/newmap.srf?x=283700&y=734400&z=3&sv=283700,734400&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN837344,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,1.1,Meall Buidhe,1A,Loch Tay to Perth,,719,2359,51,365N,NN576275,NN647318,446,273,NN 57682 27573,small cairn,,,,"Ma,G",,28-Oct-01,,257679,727581,56.41891,-4.30874,"http://www.streetmap.co.uk/newmap.srf?x=257679&y=727581&z=3&sv=257679,727581&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN576275,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1.1,Creag Ruadh,1A,Loch Tay to Perth,,712,2336,51,368W,NN674292,NN691322,516,196,NN 67419 29250,cairn on smooth rock,rock 15m away at NN 67400 29250 could be higher,,,"Ma,G",,28-Oct-01,,267417,729257,56.4368,-4.15187,"http://www.streetmap.co.uk/newmap.srf?x=267417&y=729257&z=3&sv=267417,729257&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN674292,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,1.1,Meall Dearg,1A,Loch Tay to Perth,,690,2264,52,379W,NN886414,NN842419,517,173,NN 88662 41488,trig point,,,,"Ma,G",,28-Oct-01,,288660,741496,56.55219,-3.81279,"http://www.streetmap.co.uk/newmap.srf?x=288660&y=741496&z=3&sv=288660,741496&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN886414,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,1.1,Creag Each,1A,Loch Tay to Perth,,672,2205,51,368W,NN652263,NN645281,456,216,NN 65259 26366,small cairn on rocky prominence,,,,"Ma,G",,28-Oct-01,,265257,726373,56.4103,-4.18539,"http://www.streetmap.co.uk/newmap.srf?x=265257&y=726373&z=3&sv=265257,726373&st=4&tl=~&bi=~&lu=N&ar=y",http://getamap.ordnancesurvey.co.uk/getamap/frames.htm?mapAction=gaz&gazName=g&gazString=NN652263,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
